taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Luzula_piperi	2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Delphinium_gypsophilum	445	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.92	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.57	0.0	0.0	0.0	0.0
Eriodictyon_traskiae	198	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
Wolffiella_lingulata	60	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.88	0.73	0.0	0.4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Castilleja_minor	20	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.75	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Lagophylla_glandulosa	319	0.47	0.0	0.0	0.33	0.42	1.0	0.0	0.0	0.0	0.43	0.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.55	0.0	0.77	0.53	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.44	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.2	0.52	0.0	0.0	0.23	0.0	0.0	0.0	0.17	0.0	0.0
Amsinckia_douglasiana	406	0.78	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.96	1.0	1.0	0.0	1.0	0.5	1.0	0.0	1.0	0.33	0.0	0.0	0.99	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.92	0.75	0.82	0.0	1.0	0.4	0.0	0.93	0.75	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.67	0.0	0.33	0.48	1.0	0.0	0.0	0.0
Clarkia_xantiana	170	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.62	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Hastingsia_alba	249	0.51	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.48	0.0	0.0	0.0	0.0	0.43	0.51	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Rhododendron_macrophyllum	302	0.86	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.87	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.58	0.0	0.0	0.75	0.0	0.86	0.0	0.0	0.0	1.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0
Spergularia_macrotheca	430	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	1.0	0.0	0.46	0.0	0.0	0.5	0.0	0.0	0.0	0.38	0.0	0.57	0.0	0.5	0.0	0.0	0.0	0.67	0.0	0.0	0.6	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.73	0.55	0.0	0.66	0.5	0.67	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.9	0.5	0.0	0.0	0.0
Collinsia_heterophylla	1743	0.66	0.59	0.0	0.65	0.91	0.94	1.0	0.71	0.0	0.65	0.6	0.0	0.67	0.0	0.0	0.68	0.0	0.91	0.0	0.58	0.56	0.62	0.61	0.53	0.83	0.0	0.0	0.41	0.59	0.83	0.67	1.0	0.0	0.0	0.98	0.45	0.61	0.8	0.84	1.0	1.0	0.62	0.29	0.56	0.69	0.0	0.95	0.0	0.0	0.0	0.61	0.53	0.75	0.83	1.0	0.0	0.47	0.67	0.0	0.72	0.8	0.5	0.0	0.0
Lewisia_cantelovii	53	0.96	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lemna_aequinoctialis	17	0.47	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.14	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Pluchea_odorata	245	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.8	0.29	0.33	0.0	0.0	0.0	0.62	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	1.0	0.0	0.0	0.82	0.88	0.0	0.0	1.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0
Navarretia_ojaiensis	26	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0
Eriogonum_nudum	276	0.66	1.0	0.67	1.0	0.0	0.0	1.0	0.0	0.67	0.6	0.56	0.0	0.78	0.0	0.71	0.72	0.0	0.5	0.5	0.83	0.67	0.75	0.6	0.6	0.0	1.0	0.4	0.0	0.5	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.67	0.2	0.0	0.0	0.7	0.6	0.67	0.2	1.0	0.0	0.0	0.0	0.5	0.73	0.6	0.43	1.0	0.9	1.0	0.0	0.0	0.0
Actaea_rubra	525	0.51	0.71	0.5	0.0	0.92	0.2	1.0	0.4	0.5	0.71	0.27	0.5	0.5	0.0	0.6	0.0	0.0	1.0	0.4	0.0	0.0	0.4	0.38	0.27	0.0	0.64	0.57	0.27	1.0	0.71	0.0	0.67	0.67	0.0	0.0	1.0	0.0	0.93	0.0	0.0	0.0	0.46	0.5	0.0	0.17	0.0	0.42	0.43	0.0	0.24	0.0	0.17	0.0	0.0	0.75	0.53	0.47	0.36	0.5	0.0	0.0	0.0	0.0	0.0
Physocarpus_alternans	43	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sanguisorba_officinalis	17	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Senecio_pattersonensis	31	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prunus_virginiana	61	0.85	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.67	0.83	0.0	0.0	1.0	0.0	0.0	0.5	0.0	1.0	1.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
Ericameria_parishii	180	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.96	0.79	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hazardia_stenolepis	109	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.09	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhus_integrifolia	1091	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.95	0.0	0.0	0.96	0.85	0.0	0.0	0.82	1.0	0.86	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.75	0.0	0.0	0.0	0.0
Parnassia_fimbriata	54	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.6	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fritillaria_ojaiensis	43	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0
Echinocereus_engelmannii	315	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.9	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lasthenia_glabrata	65	0.51	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.67	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.25	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	1.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0
Leptosiphon_minimus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eucephalus_breweri	641	0.8	0.0	0.81	0.88	1.0	1.0	0.0	0.0	1.0	0.9	0.69	0.0	0.0	0.0	0.62	1.0	0.0	0.0	1.0	0.0	0.69	0.0	0.76	0.0	0.0	0.0	0.79	0.0	0.0	0.97	0.0	1.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.6	0.69	0.0	0.0	0.0	0.0	0.0	0.0
Packera_ganderi	35	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Malacothrix_glabrata	1498	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.95	0.5	0.53	1.0	1.0	0.75	0.59	0.0	0.0	0.0	0.0	0.0	1.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.79	0.81	0.0	0.0	0.69	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.33	0.5	0.0	0.0	0.0	0.0
Perityle_inyoensis	21	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hieracium_triste	170	0.42	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.5	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.19	0.0	0.0	0.0	0.0	0.67	0.57	0.55	0.62	0.0	0.0	0.0	0.0	0.0	0.0
Euphrosyne_acerosa	52	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Poteridium_annuum	41	0.71	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	1.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Eriogonum_callistum	11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phacelia_perityloides	77	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camissoniopsis_hardhamiae	35	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mertensia_cusickii	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sorbus_californica	348	0.88	0.0	0.8	1.0	1.0	0.33	0.0	0.0	1.0	0.98	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.67	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.95	0.0	0.0	0.0	0.0	1.0	0.89	0.66	0.86	0.1	0.0	0.0	0.0	0.0	0.0
Collomia_tracyi	189	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.89	0.0	0.0	0.0	0.0	1.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arbutus_menziesii	670	0.9	1.0	0.0	1.0	1.0	1.0	0.0	0.88	1.0	1.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	1.0	0.0	0.97	0.0	0.97	0.0	0.97	0.0	0.0	0.0	0.93	1.0	0.86	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.88	0.5	0.0	0.55	0.81	0.92	0.83	0.0	0.96	1.0	0.0	0.89	1.0	0.81	0.0	0.0	0.0	0.94	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Carex_comosa	31	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.83	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinandra_pallida	351	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mimulus_guttatus	3395	0.68	0.54	0.83	0.74	0.87	0.93	0.81	0.14	0.34	0.72	0.48	0.94	0.36	1.0	0.53	0.74	1.0	0.77	0.97	0.51	0.38	0.42	0.56	0.51	0.8	0.6	0.67	0.51	0.72	0.77	0.8	0.73	0.65	0.0	0.96	0.75	0.6	0.84	0.93	0.42	0.44	0.56	0.38	0.64	0.5	0.0	0.68	0.8	0.78	0.4	0.5	0.65	0.29	1.0	0.79	0.43	0.4	0.66	0.0	0.69	0.71	0.57	0.0	0.0
Piperia_michaelii	123	0.76	1.0	0.0	0.0	1.0	0.0	0.0	0.67	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.83	1.0	0.61	1.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinandra_minthornii	87	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0
Alnus_viridis	26	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
